LICENSE_NBR,LIC_STATUS,BUSINESS_NAME,BUSINESS_NAME2,BUILDING,STREET,CITY,STATE,ZIP,SWC_TYPE,SWC_SQ_FT,SWC_TABLES,SWC_CHAIRS,DOHMH,FINAL_X,FINAL_Y,COMMUNITY_DISTRICT,CITY_COUNCIL_DISTRICT,CD_URL,APP_ID,APP_SWC_TYPE,APP_SQ_FT,APP_TABLES,APP_CHAIRS,APP_STATUS,APP_STATUS_DATE,EXPIRATION_DATE,APP_TOO_DATE,SUBMIT_DATE,INTAKE,INTAKE_DD,DPQA,SEND_PACKAGE_DD,CP,CP_DD,CB,CB_DD,HEARING,HEARING_DD,HEARING_PUBLIC,HEARING_PUBLIC_DD,CC,CC_DD,MOO,MOO_DD,ISSUANCE,ISSUANCE_DD
,Inactive,109 WEST BROADWAY FOOD & WINE LLC,NULL,109,W BROADWAY,NEW YORK,NY,10013,Enclosed,536,5,32,50060015,981852,200162,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,2015-2017-ASWC,Enclosed,536,5,32,Pending Review,23 Feb 2017,,,21 Feb 2017,Ready For Review,23 Feb 2017,Under Review,24 Oct 2017,Proceed,10 Aug 2017,Recommend Approval,10 Aug 2017,Recommendation Issued,10 Aug 2017,SWC Public Hearing,27 Sep 2017,Filed Recommendation,24 Oct 2017,Pending Review,,Pending Review,
,Inactive,23 LEXINGTON TENANT LLC,FREEHAND NEW YORK,23,LEXINGTON AVE,NEW YORK,NY,10010,Small Unenclosed,NULL,6,12,50066420,988560,208801,106,2,http://cbsix.org,15098-2017-ASWC,Small Unenclosed,NULL,6,12,Pending Review,25 Oct 2017,,,24 Oct 2017,Ready For Review,24 Oct 2017,Under Review,25 Oct 2017,Pending Review,25 Oct 2017,Pending Review,25 Oct 2017,Pending Review,,SWC Public Hearing,13 Dec 2017,Pending Review,,Pending Review,,Pending Review,
,Inactive,250 EAST 58TH STREET FOOD CORP,MOONSTRUCK DINER,250,E 58TH ST,NEW YORK,NY,10022,Enclosed,NULL,5,10,41097884,993810,216164,106,4,http://cbsix.org,6560-2017-ASWC,Enclosed,NULL,5,10,Pending Review,08 May 2017,,,08 May 2017,Ready For Review,08 May 2017,Under Review,08 May 2017,Proceed,19 Jun 2017,Recommend Approval,19 Jun 2017,Recommendation Issued,29 Jun 2017,SWC Public Hearing,09 Aug 2017,Pending Review,29 Jun 2017,Pending Review,,Pending Review,
,Inactive,2ND CITY SECOND AVENUE LLC,FLIP SIGI,1752,2ND AVE,NEW YORK,NY,10128,Unenclosed,NULL,3,14,50068467,998341,223882,108,5,http://www.cb8m.com/,12465-2017-ASWC,Unenclosed,NULL,3,14,Pending Review,11 Sep 2017,,,01 Sep 2017,Ready For Review,01 Sep 2017,Review Completed,21 Nov 2017,Pending Review,01 Sep 2017,Review Period Expired,22 Oct 2017,Recommendation Issued,16 Nov 2017,SWC Public Hearing,18 Oct 2017,Filed Recommendation,21 Nov 2017,Pending Review,,Pending Review,
,Inactive,3713 RIVERDALE REST CORP.,BLACKSTONE BAR & GRILL,3713,RIVERDALE AVE,BRONX,NY,10463,Unenclosed,NULL,9,21,40370409,1009880,262510,208,11,http://www.nyc.gov/bronxcb8,8513-2017-ASWC,Unenclosed,NULL,9,21,Pending Review,13 Jun 2017,,,12 Jun 2017,Ready For Review,12 Jun 2017,Review Completed,13 Jun 2017,Pending Review,13 Jun 2017,Recommend Approval,02 Aug 2017,Recommendation Issued,02 Aug 2017,SWC Public Hearing,02 Aug 2017,Review Period Expired,11 Oct 2017,Pending Review,11 Oct 2017,Pending Review,
,Inactive,AGGIEPOLO INC,JASPERS TAPHOUSE & KITCHEN,761,9TH AVE,NEW YORK,NY,10019,Unenclosed,115,5,10,50008104,987463,217715,104,3,http://www.nyc.gov/mcb4,14128-2017-ASWC,Unenclosed,115,5,10,Pending Review,10 Oct 2017,,,10 Oct 2017,Ready For Review,10 Oct 2017,Review Completed,10 Oct 2017,Pending Review,10 Oct 2017,Review Period Expired,30 Nov 2017,Recommendation Issued,11 Dec 2017,SWC Public Hearing,29 Nov 2017,Pending Review,12 Dec 2017,Pending Review,,Pending Review,
,Inactive,BAR GIACOSA CORP.,IL PITTINO,270,6TH AVE,NEW YORK,NY,10014,Unenclosed,NULL,6,12,50040834,983605,205011,102,3,http://www.nyc.gov/manhattancb2,8756-2017-ASWC,Unenclosed,NULL,6,12,Pending Review,16 Jun 2017,,,15 Jun 2017,Ready For Review,15 Jun 2017,Review Completed,16 Jun 2017,Pending Review,16 Jun 2017,Recommend Denial,27 Jul 2017,Recommendation On Hold,27 Jul 2017,SWC Public Hearing,02 Aug 2017,Pending Review,12 Dec 2017,Pending Review,,Pending Review,
,Inactive,"BROOKLYN TACOS, LTD",ROCCO'S TACOS & TEQUILLA BAR,339,ADAMS ST,BROOKLYN,NY,11201,Unenclosed,454,7,26,50019209,987393,191832,302,33,http://www.nyc.gov/html/bkncb2/html/home/home.shtml,7945-2017-ASWC,Unenclosed,454,7,26,Pending Review,02 Jun 2017,,,01 Jun 2017,Ready For Review,02 Jun 2017,Review Completed,02 Jun 2017,Pending Review,02 Jun 2017,Review Period Expired,23 Jul 2017,Recommendation Issued,27 Jul 2017,SWC Public Hearing,19 Jul 2017,Review Period Expired,09 Oct 2017,Pending Review,09 Oct 2017,Pending Review,
,Inactive,BROWN SUGAR BAR AND RESTAURANT INC,NULL,5060,BROADWAY,NEW YORK,NY,10034,Unenclosed,NULL,23,47,50036394,1007550,256226,112,10,http://www.nyc.gov/html/mancb12/html/home/home.shtml,8352-2017-ASWC,Unenclosed,NULL,23,47,Application Review Completed,08 Nov 2017,,,29 Nov 2017,Ready For Review,08 Jun 2017,Review Completed,08 Jun 2017,NULL,,Recommend Denial,08 Nov 2017,Recommendation Issued,08 Nov 2017,SWC Public Hearing,26 Jul 2017,NULL,,NULL,,NULL,
,Inactive,"CAMGT 510 W 42 RESTAURANT OPERATING, LLC",EDEN,510,W 42ND ST,NEW YORK,NY,10036,Unenclosed,NULL,10,20,NULL,985193,216039,104,3,http://www.nyc.gov/mcb4,13993-2017-ASWC,Unenclosed,NULL,10,20,Pending Review,10 Oct 2017,,,06 Oct 2017,Ready For Review,06 Oct 2017,Under Review,10 Oct 2017,Pending Review,10 Oct 2017,Review Period Expired,30 Nov 2017,Pending Review,30 Nov 2017,SWC Public Hearing,29 Nov 2017,Pending Review,,Pending Review,,Pending Review,
